 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
1166|6.06621,0.246926,0.246926,0.0167845 | 7.97891,0.419606,0.419606,0.032741 | -0.13625,-0.0131217 | -0.733602,-0.0739544
1167|6.06522,0.246834,0.246834,0.0167763 | 7.98076,0.419772,0.419772,0.0327559 | -0.136154,-0.0131178 | -0.733344,-0.073907
1168|6.06423,0.246742,0.246742,0.0167681 | 7.98263,0.419941,0.419941,0.032771 | -0.13606,-0.0131142 | -0.733084,-0.0738593
1169|6.06323,0.246649,0.246649,0.0167598 | 7.98454,0.420112,0.420112,0.0327862 | -0.135968,-0.0131108 | -0.732825,-0.0738113
1170|6.06221,0.246556,0.246556,0.0167515 | 7.98647,0.420286,0.420286,0.0328017 | -0.135877,-0.0131076 | -0.732564,-0.0737632
1171|6.06119,0.246462,0.246462,0.0167432 | 7.98844,0.420462,0.420462,0.0328174 | -0.135789,-0.0131047 | -0.732302,-0.0737148
1172|6.06016,0.246367,0.246367,0.0167349 | 7.99044,0.420642,0.420642,0.0328333 | -0.135703,-0.0131019 | -0.73204,-0.0736662
1173|6.05912,0.246273,0.246273,0.0167266 | 7.99247,0.420823,0.420823,0.0328494 | -0.135619,-0.0130994 | -0.731776,-0.0736174
1174|6.05808,0.246177,0.246177,0.0167183 | 7.99454,0.421008,0.421008,0.0328657 | -0.135537,-0.0130971 | -0.731511,-0.0735683
1175|6.05702,0.246082,0.246082,0.0167099 | 7.99664,0.421196,0.421196,0.0328823 | -0.135458,-0.013095 | -0.731246,-0.0735189
1176|6.05596,0.245986,0.245986,0.0167016 | 7.99877,0.421386,0.421386,0.032899 | -0.13538,-0.0130932 | -0.730979,-0.0734693
1177|6.05489,0.245889,0.245889,0.0166932 | 8.00094,0.421579,0.421579,0.032916 | -0.135305,-0.0130916 | -0.730711,-0.0734195
1178|6.05381,0.245792,0.245792,0.0166848 | 8.00315,0.421775,0.421775,0.0329332 | -0.135231,-0.0130902 | -0.730442,-0.0733693
1179|6.05273,0.245695,0.245695,0.0166764 | 8.0054,0.421975,0.421975,0.0329507 | -0.13516,-0.0130891 | -0.730172,-0.073319
1180|6.05164,0.245598,0.245598,0.0166681 | 8.00768,0.422177,0.422177,0.0329683 | -0.135091,-0.0130882 | -0.7299,-0.0732683
1181|6.05054,0.2455,0.2455,0.0166597 | 8.01001,0.422382,0.422382,0.0329863 | -0.135025,-0.0130875 | -0.729627,-0.0732174
1182|6.04943,0.245402,0.245402,0.0166513 | 8.01237,0.422591,0.422591,0.0330044 | -0.13496,-0.013087 | -0.729353,-0.0731662
